stn,name,country,latitude,longitude,elevation
"74710,""LE PUY"",FRANCE,45.083,3.767,833"
"74750,""ST-ETIENNE BOUTHEON"",FRANCE,45.533,4.3,402"
74760,AVIGNON-COUMANT,FRANCE,43.9,4.9,37
74800,LYON-BRON,FRANCE,45.717,4.933,202
74810,LYON-SATOLAS,FRANCE,45.733,5.083,240
74820,AMBERIEU,FRANCE,45.983,5.333,253
74860,GRENOBLE-ST-GEOIRS,FRANCE,45.367,5.333,386
74910,CHAMBERY/AIX-LES-BA,FRANCE,45.633,5.867,235
74940,ANNECY/MEYTHET,FRANCE,45.933,6.1,463
"74970,""BOURG ST-MAURICE"",FRANCE,45.617,6.767,868"
"75000,""CAP FERRET"",FRANCE,44.633,-1.25,10"
75020,CAZAUX,FRANCE,44.533,-1.133,24
75030,BISCAROSSE,FRANCE,44.433,-1.25,39
"75100,""BORDEAUX MERIGNAC"",FRANCE,44.833,-0.683,61"
75240,AGEN,FRANCE,44.183,0.6,60
75300,BERGERAC,FRANCE,44.817,0.517,51
75350,GOURDON,FRANCE,44.75,1.4,261
75400,MONTAUBAN,FRANCE,44.033,1.383,108
75490,AURILLAC,FRANCE,44.883,2.417,640
75520,RODEZ/MARCILLAC,FRANCE,44.4,2.483,580
75580,MILLAU,FRANCE,44.117,3.017,720
75630,AVIGNON,FRANCE,43.9,4.9,48
75770,MONTELIMAR,FRANCE,44.583,4.733,74
75790,ORANGE,FRANCE,44.133,4.833,55
75880,ST-AUBAN-SUR-DURANC,FRANCE,44.067,6,461
75910,EMBRUN,FRANCE,44.567,6.5,876
76000,SOCOA,FRANCE,43.4,-1.683,25
76020,BIARRITZ,FRANCE,43.467,-1.533,71
76030,DAX,FRANCE,43.683,-1.067,33
76070,MONT-DE-MARSAN,FRANCE,43.917,-0.5,60
76100,PAU,FRANCE,43.383,-0.417,183
76210,TARBES-OSSUN,FRANCE,43.183,0,364
76220,AUCH,FRANCE,43.683,0.6,128
"76270,""SAINT GIRONS"",FRANCE,43,1.1,412"
"76300,""TOULOUSE BLAGNAC"",FRANCE,43.633,1.367,154"
"76310,""TOULOUSE FRANCAZAL"",FRANCE,43.533,1.367,166"
76320,ALBI,FRANCE,43.917,2.117,176
76350,CARCASSONNE,FRANCE,43.217,2.317,130
"76380,""BEZIERS VIAS"",FRANCE,43.317,3.35,16"
76410,SETE,FRANCE,43.4,3.683,85
76415,VIAS,FRANCE,43.317,3.35,18
76430,MONTPELLIER,FRANCE,43.583,3.967,8
76450,NIMES-COURBESSAC,FRANCE,43.867,4.4,62
"76460,""NIMES/GARONS (NAVY)"",FRANCE,43.75,4.417,96"
76470,ISTRES,FRANCE,43.517,4.917,24
76500,MARIGNANE,FRANCE,43.45,5.233,32
"76520,""CAP POMEGUES"",FRANCE,43.267,5.3,70"
"76530,""CAP COURONNE"",FRANCE,43.333,5.05,27"
76600,TOULON,FRANCE,43.1,5.933,25
"76610,""CAP CEPET"",FRANCE,43.083,5.933,136"
76670,HYERES,FRANCE,43.1,6.15,4
76700,PORQUEROLLES,FRANCE,43,6.233,147
76840,CANNES,FRANCE,43.533,6.95,8
76900,NICE,FRANCE,43.65,7.2,27
"76950,""CAPE FERRAT"",FRANCE,43.683,7.333,144"
77470,PERPIGNAN,FRANCE,42.733,2.867,47
"77490,""CAP BEAR"",FRANCE,42.517,3.133,86"
"77530,""ILE ROUSSE"",FRANCE,42.633,8.917,153"
77540,CALVI,FRANCE,42.533,8.8,58
"77560,""CAPE CAVALLO"",FRANCE,42.517,8.683,302"
77610,AJACCIO,FRANCE,41.917,8.8,9
77650,SOLENZARA,FRANCE,41.917,9.4,22
"77680,""LA CHIAPPA"",FRANCE,41.6,9.367,68"
"77700,""CAP PERTUSATO"",FRANCE,41.367,9.167,116"
77800,FIGARI,FRANCE,41.5,9.1,23
"77850,""CAP CORSE"",FRANCE,43,9.35,106"
77900,BASTIA,FRANCE,42.55,9.483,12
"77910,""CAPE SAGRO"",FRANCE,42.8,9.483,120"
