DOLE-TAVAUX;73860;FRANCE;47.033;5.417;195
MARCE;73901;FRANCE;47.55;-0.3;61
LA COUBRE;74000;FRANCE;45.7;-1.233;6
COGNAC;74120;FRANCE;45.667;-0.317;31
LIMOGES;74340;FRANCE;45.867;1.183;402
BRIVE;74380;FRANCE;45.15;1.467;117
CLERMONT-FERRAND;74600;FRANCE;45.783;3.167;330
LE PUY CITY;74700;FRANCE;45.05;3.9;714
LE PUY;74710;FRANCE;45.083;3.767;833
ST-ETIENNE BOUTHEON;74750;FRANCE;45.533;4.3;402
AVIGNON-COUMANT;74760;FRANCE;43.9;4.9;37
LYON-BRON;74800;FRANCE;45.717;4.933;202
LYON-SATOLAS;74810;FRANCE;45.733;5.083;240
AMBERIEU;74820;FRANCE;45.983;5.333;253
GRENOBLE-ST-GEOIRS;74860;FRANCE;45.367;5.333;386
CHAMBERY/AIX-LES-BA;74910;FRANCE;45.633;5.867;235
ANNECY/MEYTHET;74940;FRANCE;45.933;6.1;463
BOURG ST-MAURICE;74970;FRANCE;45.617;6.767;868
CAP FERRET;75000;FRANCE;44.633;-1.25;10
CAZAUX;75020;FRANCE;44.533;-1.133;24
BISCAROSSE;75030;FRANCE;44.433;-1.25;39
BORDEAUX MERIGNAC;75100;FRANCE;44.833;-0.683;61
AGEN;75240;FRANCE;44.183;0.6;60
BERGERAC;75300;FRANCE;44.817;0.517;51
GOURDON;75350;FRANCE;44.75;1.4;261
MONTAUBAN;75400;FRANCE;44.033;1.383;108
AURILLAC;75490;FRANCE;44.883;2.417;640
RODEZ/MARCILLAC;75520;FRANCE;44.4;2.483;580
MILLAU;75580;FRANCE;44.117;3.017;720
AVIGNON;75630;FRANCE;43.9;4.9;48
MONTELIMAR;75770;FRANCE;44.583;4.733;74
ORANGE;75790;FRANCE;44.133;4.833;55
ST-AUBAN-SUR-DURANC;75880;FRANCE;44.067;6;461
EMBRUN;75910;FRANCE;44.567;6.5;876
SOCOA;76000;FRANCE;43.4;-1.683;25
BIARRITZ;76020;FRANCE;43.467;-1.533;71
DAX;76030;FRANCE;43.683;-1.067;33
MONT-DE-MARSAN;76070;FRANCE;43.917;-0.5;60
PAU;76100;FRANCE;43.383;-0.417;183
TARBES-OSSUN;76210;FRANCE;43.183;0;364
AUCH;76220;FRANCE;43.683;0.6;128
SAINT GIRONS;76270;FRANCE;43;1.1;412
TOULOUSE BLAGNAC;76300;FRANCE;43.633;1.367;154
TOULOUSE FRANCAZAL;76310;FRANCE;43.533;1.367;166
ALBI;76320;FRANCE;43.917;2.117;176
CARCASSONNE;76350;FRANCE;43.217;2.317;130
BEZIERS VIAS;76380;FRANCE;43.317;3.35;16
SETE;76410;FRANCE;43.4;3.683;85
VIAS;76415;FRANCE;43.317;3.35;18
MONTPELLIER;76430;FRANCE;43.583;3.967;8
NIMES-COURBESSAC;76450;FRANCE;43.867;4.4;62
NIMES/GARONS (NAVY);76460;FRANCE;43.75;4.417;96
ISTRES;76470;FRANCE;43.517;4.917;24
MARIGNANE;76500;FRANCE;43.45;5.233;32
CAP POMEGUES;76520;FRANCE;43.267;5.3;70
CAP COURONNE;76530;FRANCE;43.333;5.05;27
TOULON;76600;FRANCE;43.1;5.933;25
CAP CEPET;76610;FRANCE;43.083;5.933;136
HYERES;76670;FRANCE;43.1;6.15;4
PORQUEROLLES;76700;FRANCE;43;6.233;147
CANNES;76840;FRANCE;43.533;6.95;8
NICE;76900;FRANCE;43.65;7.2;27
CAPE FERRAT;76950;FRANCE;43.683;7.333;144
PERPIGNAN;77470;FRANCE;42.733;2.867;47
CAP BEAR;77490;FRANCE;42.517;3.133;86
ILE ROUSSE;77530;FRANCE;42.633;8.917;153
CALVI;77540;FRANCE;42.533;8.8;58
CAPE CAVALLO;77560;FRANCE;42.517;8.683;302
AJACCIO;77610;FRANCE;41.917;8.8;9
SOLENZARA;77650;FRANCE;41.917;9.4;22
LA CHIAPPA;77680;FRANCE;41.6;9.367;68
CAP PERTUSATO;77700;FRANCE;41.367;9.167;116
FIGARI;77800;FRANCE;41.5;9.1;23
CAP CORSE;77850;FRANCE;43;9.35;106
BASTIA;77900;FRANCE;42.55;9.483;12
CAPE SAGRO;77910;FRANCE;42.8;9.483;120
